home,away,home_score,away_score
Houston Dynamo FC,San Jose Earthquakes,2,1
Seattle Sounders FC,Minnesota United FC,4,0
CF Montréal,Toronto FC,4,2
Orlando City SC,Atlanta United FC,0,0
LAFC,Austin FC,2,0
DC United,New York City FC,2,1
FC Dallas,Colorado Rapids,0,0
New York Red Bulls,Sporting Kansas City,1,2
Chicago Fire FC,New England Revolution,2,2
Nashville SC,FC Cincinnati,2,2
Inter Miami CF,LA Galaxy,2,3
Columbus Crew,Philadelphia Union,0,0
Vancouver Whitecaps,Portland Timbers,1,0
Sporting Kansas City,Orlando City SC,1,1
New York City FC,FC Cincinnati,5,0
Nashville SC,CF Montréal,2,2
Toronto FC,Vancouver Whitecaps,2,2
San Jose Earthquakes,FC Dallas,3,1
LAFC,Seattle Sounders FC,1,1
Atlanta United FC,Chicago Fire FC,3,1
Minnesota United FC,Real Salt Lake,1,2
New England Revolution,DC United,1,0
Philadelphia Union,Inter Miami CF,1,2
Colorado Rapids,Austin FC,1,3
Portland Timbers,Houston Dynamo FC,2,1
LA Galaxy,New York Red Bulls,3,2
New York Red Bulls,Chicago Fire FC,2,0
Real Salt Lake,Sporting Kansas City,3,1
CF Montréal,Columbus Crew,0,0
Houston Dynamo FC,LAFC,1,1
New England Revolution,Atlanta United FC,2,1
Orlando City SC,FC Cincinnati,3,0
Philadelphia Union,New York City FC,0,2
FC Dallas,Portland Timbers,4,1
Minnesota United FC,Austin FC,0,1
San Jose Earthquakes,DC United,4,1
Nashville SC,Inter Miami CF,0,0
Seattle Sounders FC,LA Galaxy,3,0
Vancouver Whitecaps,Colorado Rapids,0,1
Real Salt Lake,San Jose Earthquakes,1,2
Chicago Fire FC,Philadelphia Union,0,2
New York Red Bulls,Toronto FC,2,0
Columbus Crew,DC United,3,1
Nashville SC,New England Revolution,2,0
Vancouver Whitecaps,CF Montréal,2,0
FC Dallas,Houston Dynamo FC,1,1
Orlando City SC,New York City FC,1,1
LA Galaxy,LAFC,2,1
Colorado Rapids,Minnesota United FC,3,2
Inter Miami CF,Atlanta United FC,1,1
Portland Timbers,Seattle Sounders FC,1,2
Sporting Kansas City,Austin FC,2,1
Toronto FC,Columbus Crew,2,0
Inter Miami CF,CF Montréal,0,2
Philadelphia Union,New England Revolution,1,1
Houston Dynamo FC,Sporting Kansas City,1,0
Minnesota United FC,Vancouver Whitecaps,1,0
San Jose Earthquakes,Seattle Sounders FC,0,1
DC United,Chicago Fire FC,1,0
New York City FC,Toronto FC,1,1
LA Galaxy,Austin FC,2,0
Atlanta United FC,CF Montréal,1,0
Philadelphia Union,New York Red Bulls,1,0
Minnesota United FC,FC Dallas,1,0
Colorado Rapids,Houston Dynamo FC,3,1
Real Salt Lake,Nashville SC,0,0
San Jose Earthquakes,Portland Timbers,0,2
Sporting Kansas City,Vancouver Whitecaps,3,0
FC Cincinnati,Inter Miami CF,2,3
New England Revolution,Columbus Crew,1,0
DC United,Orlando City SC,0,1
Seattle Sounders FC,LAFC,2,0
CF Montréal,FC Cincinnati,1,2
Portland Timbers,LA Galaxy,3,0
Chicago Fire FC,Inter Miami CF,1,0
Orlando City SC,Toronto FC,1,0
New York City FC,Columbus Crew,1,2
FC Dallas,Real Salt Lake,2,2
New England Revolution,New York Red Bulls,3,1
Houston Dynamo FC,Vancouver Whitecaps,2,1
San Jose Earthquakes,Sporting Kansas City,1,3
LAFC,Colorado Rapids,2,1
Seattle Sounders FC,Atlanta United FC,1,1
DC United,Philadelphia Union,0,1
Nashville SC,Austin FC,1,0
Chicago Fire FC,CF Montréal,0,1
New York Red Bulls,Orlando City SC,2,1
Columbus Crew,Toronto FC,2,1
FC Cincinnati,New England Revolution,0,1
Atlanta United FC,Nashville SC,2,2
LAFC,New York City FC,1,2
LA Galaxy,San Jose Earthquakes,1,0
Inter Miami CF,DC United,0,3
Sporting Kansas City,Houston Dynamo FC,3,2
Colorado Rapids,FC Dallas,3,0
Real Salt Lake,Minnesota United FC,1,1
Philadelphia Union,Portland Timbers,3,0
Seattle Sounders FC,Austin FC,0,0
Sporting Kansas City,Austin FC,1,1
New York Red Bulls,Nashville SC,2,0
Real Salt Lake,Vancouver Whitecaps,3,1
Columbus Crew,Chicago Fire FC,2,0
FC Cincinnati,Colorado Rapids,0,2
New York City FC,New England Revolution,2,3
Toronto FC,Orlando City SC,2,3
DC United,Inter Miami CF,1,0
FC Dallas,Minnesota United FC,1,1
Austin FC,San Jose Earthquakes,0,0
LA Galaxy,Seattle Sounders FC,1,2
Portland Timbers,Sporting Kansas City,2,1
LAFC,Houston Dynamo FC,1,1
Atlanta United FC,Philadelphia Union,2,2
Orlando City SC,San Jose Earthquakes,5,0
New England Revolution,New York Red Bulls,3,2
New York City FC,Atlanta United FC,1,0
Philadelphia Union,Columbus Crew,1,0
CF Montréal,DC United,0,0
Chicago Fire FC,FC Cincinnati,0,1
Minnesota United FC,Austin FC,2,0
Houston Dynamo FC,Portland Timbers,2,2
Nashville SC,Toronto FC,3,2
Sporting Kansas City,Colorado Rapids,3,1
Seattle Sounders FC,Real Salt Lake,2,1
LAFC,FC Dallas,2,0
Vancouver Whitecaps,LA Galaxy,1,2
Inter Miami CF,Orlando City SC,1,2
Sporting Kansas City,LAFC,2,1
Toronto FC,FC Cincinnati,0,2
Chicago Fire FC,Philadelphia Union,3,3
