"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2022,"AUS","3600339",3608482,"ISCED 3A","ISCED 3A","male","yes","no",582.682,487.448,606.141,25.98435,NA,"yes",NA,"1","1","2","201-500",NA,-0.3694
2022,"AUS","3600422",3606897,"ISCED 3A","ISCED 3A","female","yes","yes",439.772,395.377,438.844,10.23501,NA,"yes",NA,"1","1","2","more than 500",NA,1.3486
2022,"AUS","3600163",3617728,"ISCED 3B, C",NA,"female","yes","yes",394.208,365.349,330.541,16.64142,NA,"yes",NA,"1","1","0","11-25",NA,-0.3435
2022,"AUS","3600309",3619508,"ISCED 3A","ISCED 3A","female","yes","yes",514.864,592.738,545.045,21.52544,NA,"yes",NA,"2","1","2","more than 500",NA,1.3649
2022,"AUS","3600738",3619834,"ISCED 2","ISCED 3B, C","male","yes","yes",411.929,305.111,352.459,21.03036,NA,"yes",NA,"3+","1","2","more than 500",NA,0.6807
2022,"AUS","3600643",3616287,"ISCED 3A","ISCED 3A","female","yes","yes",563.313,596.772,629.841,16.30741,NA,"yes",NA,"0","0","2","more than 500",NA,1.4318
2022,"AUS","3600407",3605161,"ISCED 3A","ISCED 3A","male","yes","yes",570.719,572.894,618.361,3.24215,NA,"yes",NA,"2","1","2","201-500",NA,1.2088
2022,"AUS","3600414",3612429,NA,NA,"female",NA,NA,427.999,408.181,357.393,5.39764,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"AUS","3600031",3611689,"ISCED 3A","ISCED 3A","female","yes","yes",410.64,437.501,500.5,20.25531,NA,"yes",NA,"1","1","2",NA,NA,0.5251
2022,"AUS","3600112",3614896,"ISCED 3A","ISCED 2","male","yes","yes",390.558,497.522,557.194,25.50967,NA,"yes",NA,"2","0","1","more than 500",NA,0.8839
2022,"AUS","3600200",3620010,"ISCED 3A","ISCED 2","female","yes","yes",454.094,565.804,523.454,10.42435,NA,"yes",NA,"2","0","3+","11-25",NA,-1.1189
2022,"AUS","3600473",3620058,"ISCED 3A","ISCED 3B, C","female","yes","yes",510.132,414.546,524.404,20.18899,NA,"yes",NA,"1","0","2","101-200",NA,-0.1213
2022,"AUS","3600682",3601511,"ISCED 2",NA,"female","no","yes",335.473,328.573,289.637,9.93029,NA,"yes",NA,"1","1","1","0-10",NA,-0.8431
2022,"AUS","3600240",3619639,"ISCED 3A","ISCED 3B, C","male","yes","yes",405.804,466.023,454.402,8.94773,NA,"yes",NA,"3+","1","3+","101-200",NA,0.1775
2022,"AUS","3600005",3608985,"ISCED 3A","ISCED 3A","male","yes","yes",613.24,668.278,593.137,15.40979,NA,"yes",NA,"1","1","3+","201-500",NA,1.1883
2022,"AUS","3600520",3610812,"ISCED 3A","ISCED 3B, C","male","yes","yes",372.46,372.182,393.289,8.83958,NA,"yes",NA,"2","0","1","201-500",NA,0.0825
2022,"AUS","3600204",3611120,"ISCED 3A","ISCED 2","male","yes","yes",389.842,472.824,452.56,22.99058,NA,"yes",NA,"2","1","3+","101-200",NA,0.6199
2022,"AUS","3600555",3612892,NA,NA,"female",NA,NA,422.865,368.375,413.466,6.23346,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"AUS","3600272",3604412,"ISCED 3A","ISCED 3B, C","female","yes","yes",519.639,559.143,576.544,19.70761,NA,"yes",NA,"2","2","2","101-200",NA,-0.3907
2022,"AUS","3600114",3604592,"ISCED 3A","ISCED 3A","female","yes","yes",492.344,600.367,520.169,33.91781,NA,"yes",NA,"1","1","1","101-200",NA,0.7272
2022,"AUS","3600267",3610994,"ISCED 3A","ISCED 3A","male","yes","yes",436.701,308.557,493.118,10.15165,NA,"yes",NA,"2","1","3+","26-100",NA,-0.0471
2022,"AUS","3600686",3617739,"ISCED 3B, C","ISCED 3A","male","yes","yes",580.975,609.281,610.411,30.08641,NA,"yes",NA,"1","1","2","101-200",NA,0.0775
2022,"AUS","3600330",3609775,"ISCED 3A","ISCED 3A","female","yes","yes",524.102,575.009,532.087,25.25367,NA,"yes",NA,"1","1","2","201-500",NA,0.5894
2022,"AUS","3600750",3604601,"ISCED 3A","ISCED 3B, C","male","yes","yes",683.925,590.565,692.939,12.20929,NA,"yes",NA,"1","0","1","101-200",NA,0.6237
2022,"AUS","3600311",3604117,NA,NA,"female",NA,NA,511.53,553.707,563.159,8.34619,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"AUS","3600362",3611305,NA,NA,"male",NA,NA,506.585,518.089,500.419,7.51852,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"AUS","3600488",3606378,"ISCED 2","ISCED 2","male","yes","yes",425.058,490.623,496.309,13.14979,NA,"yes",NA,"2","1","2","101-200",NA,-1.4188
2022,"AUS","3600631",3600051,"ISCED 3A","ISCED 2","female","yes","yes",419.048,404.162,420.553,22.70073,NA,"yes",NA,"2","0","2","26-100",NA,-0.1219
2022,"AUS","3600312",3602065,"ISCED 3A","ISCED 3A","male","yes","yes",745.802,792.703,742.502,20.2547,NA,"yes",NA,"1","0","1","more than 500",NA,1.2521
2022,"AUS","3600680",3618799,"ISCED 3A","ISCED 3A","female","yes","yes",546.87,604.824,642.035,19.34822,NA,"yes",NA,"1","2","2",NA,NA,1.1183
2022,"AUS","3600679",3603921,"ISCED 1","ISCED 3A","female","yes","yes",426.877,472.903,393.772,29.02356,NA,"yes",NA,"2","0","2","11-25",NA,0.2506
2022,"AUS","3600150",3617311,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",546.292,631.045,669.279,37.57969,NA,"yes",NA,"2","1","1","26-100",NA,0.9265
2022,"AUS","3600440",3617209,"ISCED 3A","ISCED 3A","female","yes","yes",499.539,601.548,499.659,23.09902,NA,"yes",NA,"1","1","2","201-500",NA,0.9831
2022,"AUS","3600298",3617788,"ISCED 3A","ISCED 3A","male","yes","yes",598.387,599.212,574.851,23.15946,NA,"yes",NA,"1","1","1","more than 500",NA,1.374
2022,"AUS","3600715",3605253,"ISCED 3A","ISCED 2","female","yes","yes",408.545,589.541,544.053,19.20327,NA,"yes",NA,"1","0","1","26-100",NA,0.2649
2022,"AUS","3600193",3602167,"ISCED 3A","ISCED 3A","female","yes","yes",621.998,665.496,668.186,3.18284,NA,"yes",NA,"2","1","3+",NA,NA,1.7881
2022,"AUS","3600556",3614462,"ISCED 3A","ISCED 3A","female","yes","yes",605.941,529.649,613.488,4.91136,NA,"yes",NA,"2","1","3+","more than 500",NA,1.2991
2022,"AUS","3600611",3612046,"less than ISCED1",NA,"male","no","yes",388.33,372.673,304.167,18.87272,NA,"no",NA,"2","0","3+","11-25",NA,-2.5946
2022,"AUS","3600442",3615766,"ISCED 3A","ISCED 2","female","yes","yes",500.05,554.15,606.875,29.39293,NA,"no",NA,"1","0","0","101-200",NA,-0.4937
2022,"AUS","3600284",3612148,"ISCED 3A","ISCED 3A","female","yes","yes",665.992,631.938,656.455,13.47335,NA,"yes",NA,"2","1","3+","more than 500",NA,1.0597
2022,"AUS","3600114",3613943,NA,NA,"male","yes","yes",439.194,400.308,405.463,39.32813,NA,"yes",NA,"2","0","1","11-25",NA,-0.7481
2022,"AUS","3600321",3609914,"ISCED 3A","ISCED 3A","female","yes","yes",452.952,492.38,505.211,21.17801,NA,"yes",NA,"1","1","3+","101-200",NA,0.5083
2022,"AUS","3600290",3620188,"ISCED 3A","ISCED 3A","female","yes","yes",581.278,625.947,664.897,22.06927,NA,"yes",NA,"1","1","3+","more than 500",NA,1.337
2022,"AUS","3600282",3616283,"ISCED 2","ISCED 2","male","yes","yes",642.91,632.648,628.063,4.31407,NA,"yes",NA,"3+","2","2","101-200",NA,-0.5456
2022,"AUS","3600016",3602836,"ISCED 3A","ISCED 3A","female","yes","yes",639.477,656.562,616.359,26.35004,NA,"yes",NA,"1","2","2","more than 500",NA,1.7099
2022,"AUS","3600644",3615134,"ISCED 2","ISCED 2","male","yes","yes",334.863,239.502,396.102,10.80864,NA,"yes",NA,"2","1","0","11-25",NA,-1.8732
2022,"AUS","3600078",3614769,"ISCED 3B, C","ISCED 2","female","yes","yes",397.137,397.441,337.791,17.10255,NA,"yes",NA,"2","1","2","26-100",NA,0.1276
2022,"AUS","3600506",3605976,"ISCED 3A","ISCED 3A","male","yes","yes",659.521,640.329,656.836,20.79233,NA,"yes",NA,"2","2","2",NA,NA,1.5517
